feature_a,feature_b,ksg_mi_nats,ksg_r_info
Protocol,Flow Duration,0.47320631265933955,0.7822206211015269
Protocol,Total Fwd Packet,0.38400445823359597,0.7321639950147016
Protocol,Total Bwd packets,0.3952194425339277,0.739157863191616
Protocol,Total Length of Fwd Packet,0.6449228342949969,0.8512853403552572
Protocol,Total Length of Bwd Packet,0.578306771603212,0.8279193270698688
Protocol,Fwd Packet Length Max,0.6433378254331874,0.8507717660950305
Protocol,Fwd Packet Length Min,0.6894626462965441,0.8649571829100425
Protocol,Fwd Packet Length Mean,0.584526513661932,0.830264422046206
Protocol,Fwd Packet Length Std,0.34222863065868925,0.70401428032454
Protocol,Bwd Packet Length Max,0.5976623075108405,0.8351013663750834
Protocol,Bwd Packet Length Min,0.6616286286063247,0.8565824016664307
Protocol,Bwd Packet Length Mean,0.5801440377662299,0.8286157817766935
Protocol,Bwd Packet Length Std,0.3331156831341815,0.697394681397233
Protocol,Flow Bytes/s,0.3563317845815952,0.7139072687684461
Protocol,Flow Packets/s,0.3849993783079615,0.7327935288915545
Protocol,Flow IAT Mean,0.3540390003592577,0.7123271397861418
Protocol,Flow IAT Std,0.3149592486025963,0.6836408337013347
Protocol,Flow IAT Max,0.45092554743529156,0.7708321757260791
Protocol,Flow IAT Min,0.24580730841514242,0.6231869419181097
Protocol,Fwd IAT Total,0.36939733824230636,0.7227106344458301
Protocol,Fwd IAT Mean,0.38171061552746366,0.7307057095958717
Protocol,Fwd IAT Std,0.3325477940949755,0.6969760601481311
Protocol,Fwd IAT Max,0.3738493681972681,0.725634312556929
Protocol,Fwd IAT Min,0.14443094720698824,0.5008835639990833
Protocol,Bwd IAT Total,0.3937567439092806,0.7382582948665602
Protocol,Bwd IAT Mean,0.4137882960462935,0.7502617589327025
Protocol,Bwd IAT Std,0.31795612160399767,0.6859648105380265
Protocol,Bwd IAT Max,0.4170634475126329,0.752161242804223
Protocol,Bwd IAT Min,0.138534473517117,0.4919326851278712
Protocol,Fwd PSH Flags,0.34924879035971834,0.7089908716837987
Protocol,Bwd PSH Flags,0.34427432616977516,0.705475329945335
Protocol,Fwd URG Flags,0.004939181322394681,0.09914500432708398
Protocol,Bwd URG Flags,0.0,0.0
Protocol,Fwd Header Length,0.6638158147360276,0.8572605299517359
Protocol,Bwd Header Length,0.6733316695533951,0.8601705050787992
Protocol,Fwd Packets/s,0.39618376484051154,0.7397488930708536
Protocol,Bwd Packets/s,0.3940485199719248,0.73843803662509
Protocol,Packet Length Min,0.6934843176683776,0.8661226886164985
Protocol,Packet Length Max,0.6501129439852731,0.85295355188142
Protocol,Packet Length Mean,0.6038459293915253,0.8373252917485633
Protocol,Packet Length Std,0.5781561768214676,0.827862101327341
Protocol,Packet Length Variance,0.5847171437273211,0.8303357336579814
Protocol,FIN Flag Count,0.34028364475059725,0.7026167693925636
Protocol,SYN Flag Count,0.5742884570117894,0.8263850848729366
Protocol,RST Flag Count,0.2460801887197146,0.6234546346375077
Protocol,PSH Flag Count,0.3496658865887339,0.7092832675982339
Protocol,ACK Flag Count,0.60853104638616,0.8389881994856604
Protocol,URG Flag Count,0.0,0.0
Protocol,CWR Flag Count,6.38337464931027e-05,0.011298643451256724
Protocol,ECE Flag Count,0.00022991952882112088,0.021441393328478706
Protocol,Down/Up Ratio,0.29362051278812107,0.6664392161104782
Protocol,Fwd Bytes/Bulk Avg,0.020468374206890516,0.2002752041995407
Protocol,Fwd Packet/Bulk Avg,0.010660572669027424,0.1452427504070575
Protocol,Fwd Bulk Rate Avg,0.02408064798365217,0.21684081064405114
Protocol,Bwd Bytes/Bulk Avg,0.09925372654065256,0.4243186779575697
Protocol,Bwd Packet/Bulk Avg,0.09354564718254643,0.4130762444118865
Protocol,Bwd Bulk Rate Avg,0.09883623222189009,0.4235108057142819
Protocol,Subflow Fwd Packets,0.0033461046886458234,0.0816692501077658
Protocol,Subflow Fwd Bytes,0.3021494279835961,0.6734556869440679
Protocol,Subflow Bwd Packets,0.0,0.0
Protocol,Subflow Bwd Bytes,0.45155357254536366,0.7711625319151463
Protocol,FWD Init Win Bytes,0.6607275139506852,0.856301993873744
Protocol,Bwd Init Win Bytes,0.3708455233113481,0.7236658238110454
Protocol,Fwd Act Data Pkts,0.13536531658974038,0.48700929389939746
Protocol,Fwd Seg Size Min,0.7012071919245466,0.8683304080969745
Protocol,Active Mean,0.12193342847911026,0.46519677864914
Protocol,Active Std,0.06771482551351937,0.35589240033798125
Protocol,Active Max,0.12854416242489375,0.47613032968854263
Protocol,Active Min,0.1192782239740291,0.4606905476257047
Protocol,Idle Mean,0.14044818561991246,0.494867070853633
Protocol,Idle Std,0.07576799260252542,0.37498405766025916
Protocol,Idle Max,0.14462254120673013,0.5011699729865354
Protocol,Idle Min,0.1316579631421968,0.4811454354977445
Flow Duration,Total Fwd Packet,0.9271840261668842,0.9183943357872528
Flow Duration,Total Bwd packets,0.9228054264499308,0.9176443645873861
Flow Duration,Total Length of Fwd Packet,1.1802844016566096,0.9516477647050691
Flow Duration,Total Length of Bwd Packet,1.0504050586828706,0.9368258833174219
Flow Duration,Fwd Packet Length Max,1.0587208957406604,0.937902400279201
Flow Duration,Fwd Packet Length Min,0.5913121720385393,0.832782450174889
Flow Duration,Fwd Packet Length Mean,0.9566991192367968,0.9232670100361889
Flow Duration,Fwd Packet Length Std,0.6980103863572067,0.8674213599859031
Flow Duration,Bwd Packet Length Max,1.1229465537135228,0.9456040514221566
Flow Duration,Bwd Packet Length Min,0.6343941116296934,0.8478371699353783
