ci_high,ci_low,group,metric,seed,value
,,PortScan,cov_trace,42,0.25162382795578625
,,PortScan,cov_logdet,42,-29.938063392772918
0.5088623732328414,0.49105861186981203,PortScan,silhouette_mean,42,0.49994868487119676
,,DoS_Hulk,cov_trace,42,0.8628235928204331
,,DoS_Hulk,cov_logdet,42,-25.2360574376048
0.46422065421938896,0.44216547906398773,DoS_Hulk,silhouette_mean,42,0.45354442596435546
,,DDoS,cov_trace,42,1.5872766222051882
,,DDoS,cov_logdet,42,-23.15432918055169
0.49537243619561194,0.48124316707253456,DDoS,silhouette_mean,42,0.4876961886882782
,,DoS_GoldenEye,cov_trace,42,2.947093614648855
,,DoS_GoldenEye,cov_logdet,42,-15.025360952601599
0.32805445194244387,0.30164439901709555,DoS_GoldenEye,silhouette_mean,42,0.31430988758802414
,,DoS_slowloris,cov_trace,42,7.52194568075559
,,DoS_slowloris,cov_logdet,42,-11.388893508749732
0.35146609991788863,0.3340086527168751,DoS_slowloris,silhouette_mean,42,0.3434741124510765
,,FTP_Patator,cov_trace,42,0.002077459830166096
,,FTP_Patator,cov_logdet,42,-59.62072028470925
0.5149872556328774,0.496401634067297,FTP_Patator,silhouette_mean,42,0.5052605047821999
,,SSH_Patator,cov_trace,42,0.03002139142936099
,,SSH_Patator,cov_logdet,42,-41.359275299223555
0.4545010760426521,0.4364058800041676,SSH_Patator,silhouette_mean,42,0.444757080078125
,,DoS_Slowhttptest,cov_trace,42,5.99489731377435
,,DoS_Slowhttptest,cov_logdet,42,-12.984182937932319
0.3269517183303833,0.31344345957040787,DoS_Slowhttptest,silhouette_mean,42,0.31871283054351807
,,Bot,cov_trace,42,3.1474404829903846
,,Bot,cov_logdet,42,-26.943509708894965
0.309730502218008,0.2893365927040577,Bot,silhouette_mean,42,0.2988608583807945
,,Web_Attack,cov_trace,42,1.8919149453277273
,,Web_Attack,cov_logdet,42,-23.79008813251309
0.24564385861158372,0.21486412696540355,Web_Attack,silhouette_mean,42,0.22819604948163033
,,Infiltration,cov_trace,42,1730.2318534316764
,,Infiltration,cov_logdet,42,2.8421294768942724
0.8632631555199624,0.8579351007938385,Infiltration,silhouette_mean,42,0.8603834807872772
,,DoS_Hulk_attempted,cov_trace,42,4.236534927994244
