seed,n_active,var_dim0,active_dim0,var_dim1,active_dim1,var_dim2,active_dim2,var_dim3,active_dim3,var_dim4,active_dim4,var_dim5,active_dim5,var_dim6,active_dim6,var_dim7,active_dim7
42,6,0.5725972652435303,True,0.2559894919395447,True,8.653511940792669e-06,False,0.9536592960357666,True,0.9653046727180481,True,0.255043089389801,True,0.773591935634613,True,2.7589085220824927e-05,False
0,6,0.9434771537780762,True,0.683266818523407,True,1.1548125257831998e-05,False,0.13681794703006744,True,0.7029106020927429,True,0.9879052042961121,True,5.105468062538421e-06,False,0.23800501227378845,True
1,6,4.000382614322007e-05,False,0.3661027252674103,True,0.8112417459487915,True,1.0013880729675293,True,0.3740943372249603,True,0.7238561511039734,True,0.21515242755413055,True,5.935051831329474e-06,False
2,7,1.1180238288943656e-05,False,1.074214220046997,True,0.20276494324207306,True,0.6994748115539551,True,0.8064519762992859,True,0.2205294668674469,True,0.5647674798965454,True,0.2623777389526367,True
3,6,0.46036091446876526,True,0.18570858240127563,True,0.8116917610168457,True,0.9516989588737488,True,0.9696452021598816,True,1.3899243640480563e-05,False,0.31224989891052246,True,8.436713687842712e-05,False
4,6,0.35036805272102356,True,0.6155598759651184,True,0.5991988778114319,True,0.2062763124704361,True,1.835780312831048e-05,False,1.3569035530090332,True,0.9736676216125488,True,9.87675812211819e-05,False
5,6,8.844787771522533e-06,False,1.0112988948822021,True,0.22363270819187164,True,1.2072533763785032e-06,False,0.5719575881958008,True,0.14963851869106293,True,0.765661895275116,True,0.956116795539856,True
6,6,2.0566669263644144e-05,False,0.8614173531532288,True,0.3776237666606903,True,5.7291931625513826e-06,False,1.1562386751174927,True,0.4215606451034546,True,0.21707254648208618,True,0.5720683932304382,True
7,6,0.602928102016449,True,1.0001581907272339,True,3.1060488254297525e-05,False,1.8916298358817585e-05,False,0.7366818189620972,True,0.7477892637252808,True,0.19642798602581024,True,0.19872866570949554,True
8,6,0.4828910231590271,True,0.6822998523712158,True,0.42080381512641907,True,0.19087755680084229,True,7.0983151090331376e-06,False,0.9923347234725952,True,0.961020290851593,True,1.198586596729001e-05,False
