group,metric,seed,value
FTP_Patator,neighborhood_purity_median,0,0.0
SSH_Patator,log_density_benign_mean,0,-6.630898967094202
SSH_Patator,log_density_benign_median,0,-6.733382075160932
SSH_Patator,neighborhood_purity_mean,0,0.004731543624161073
SSH_Patator,neighborhood_purity_median,0,0.0
DoS_Slowhttptest,log_density_benign_mean,0,-9.05059464241973
DoS_Slowhttptest,log_density_benign_median,0,-7.77135711737642
DoS_Slowhttptest,neighborhood_purity_mean,0,0.00912743972445465
DoS_Slowhttptest,neighborhood_purity_median,0,0.0
Bot,log_density_benign_mean,0,-3.3715993305435132
Bot,log_density_benign_median,0,-2.7474388853920306
Bot,neighborhood_purity_mean,0,0.012059620596205963
Bot,neighborhood_purity_median,0,0.0
Web_Attack,log_density_benign_mean,0,-8.501240623953354
Web_Attack,log_density_benign_median,0,-9.56130362119669
Web_Attack,neighborhood_purity_mean,0,0.10894736842105263
Web_Attack,neighborhood_purity_median,0,0.0
Infiltration,log_density_benign_mean,0,-13.950226879686559
Infiltration,log_density_benign_median,0,-8.415481237369722
Infiltration,neighborhood_purity_mean,0,0.58125
Infiltration,neighborhood_purity_median,0,0.6499999999999999
DoS_Hulk_attempted,log_density_benign_mean,0,-7.812252576476013
DoS_Hulk_attempted,log_density_benign_median,0,-10.709910017815627
DoS_Hulk_attempted,neighborhood_purity_mean,0,0.01226252158894646
DoS_Hulk_attempted,neighborhood_purity_median,0,0.0
DoS_GoldenEye_attempted,log_density_benign_mean,0,2.5096857564246164
DoS_GoldenEye_attempted,log_density_benign_median,0,2.3532043147219497
DoS_GoldenEye_attempted,neighborhood_purity_mean,0,0.0225
DoS_GoldenEye_attempted,neighborhood_purity_median,0,0.0
DoS_slowloris_attempted,log_density_benign_mean,0,-6.303137901955988
DoS_slowloris_attempted,log_density_benign_median,0,-6.478298574045714
DoS_slowloris_attempted,neighborhood_purity_mean,0,0.0032825322391559202
DoS_slowloris_attempted,neighborhood_purity_median,0,0.0
DoS_Slowhttptest_attempted,log_density_benign_mean,0,8.367913940288528
DoS_Slowhttptest_attempted,log_density_benign_median,0,10.962654696936994
DoS_Slowhttptest_attempted,neighborhood_purity_mean,0,0.004455004455004455
DoS_Slowhttptest_attempted,neighborhood_purity_median,0,0.0
Bot_attempted,log_density_benign_mean,0,27.189237125224658
Bot_attempted,log_density_benign_median,0,26.966236973472967
Bot_attempted,neighborhood_purity_mean,0,0.007755102040816328
Bot_attempted,neighborhood_purity_median,0,0.0
WebAttack_BruteForce,log_density_benign_mean,0,-9.294607792112032
WebAttack_BruteForce,log_density_benign_median,0,-9.633140023546169
WebAttack_BruteForce,neighborhood_purity_mean,0,0.06754966887417219
WebAttack_BruteForce,neighborhood_purity_median,0,0.0
WebAttack_BruteForce_attempted,log_density_benign_mean,0,9.753431370521058
WebAttack_BruteForce_attempted,log_density_benign_median,0,10.099051986620129
WebAttack_BruteForce_attempted,neighborhood_purity_mean,0,0.0037067545304777594
WebAttack_BruteForce_attempted,neighborhood_purity_median,0,0.0
PortScan,log_density_benign_mean,1,11.708691044112433
PortScan,log_density_benign_median,1,0.48153633141430774
PortScan,neighborhood_purity_mean,1,0.030139999999999997
PortScan,neighborhood_purity_median,1,0.0
DoS_Hulk,log_density_benign_mean,1,-10.039532615281887
DoS_Hulk,log_density_benign_median,1,-9.902456790098267
DoS_Hulk,neighborhood_purity_mean,1,0.00162
DoS_Hulk,neighborhood_purity_median,1,0.0
DDoS,log_density_benign_mean,1,-12.679024621123832
DDoS,log_density_benign_median,1,-12.655863796851818
DDoS,neighborhood_purity_mean,1,0.00022
DDoS,neighborhood_purity_median,1,0.0
DoS_GoldenEye,log_density_benign_mean,1,-11.76104647575655
DoS_GoldenEye,log_density_benign_median,1,-11.46627024911392
DoS_GoldenEye,neighborhood_purity_mean,1,0.0073
DoS_GoldenEye,neighborhood_purity_median,1,0.0
DoS_slowloris,log_density_benign_mean,1,-9.750430384360545
DoS_slowloris,log_density_benign_median,1,-10.549910149968959
DoS_slowloris,neighborhood_purity_mean,1,0.0061234691327168205
DoS_slowloris,neighborhood_purity_median,1,0.0
FTP_Patator,log_density_benign_mean,1,1.0325192945676709
FTP_Patator,log_density_benign_median,1,1.0508073388129908
FTP_Patator,neighborhood_purity_mean,1,0.0006040775232821547
FTP_Patator,neighborhood_purity_median,1,0.0
SSH_Patator,log_density_benign_mean,1,-3.581492130431436
SSH_Patator,log_density_benign_median,1,-3.578992199266736
