ci_high,ci_low,ci_n_subsample_per_side,group,metric,seed,value
0.5865892555555555,0.5073070222222222,1500,PortScan,cliffs_delta,42,0.5272412238572419
0.7117055999999999,0.653766888888889,1500,DoS_Hulk,cliffs_delta,42,0.6975005176410214
0.9496190222222223,0.9278903333333336,1500,DDoS,cliffs_delta,42,0.9431056668972555
0.8080993555555555,0.7626856222222222,1500,DoS_GoldenEye,cliffs_delta,42,0.7840110177153132
0.8526646888888888,0.8156920222222221,1500,DoS_slowloris,cliffs_delta,42,0.8397729955468214
0.15913682222222228,0.06267908888888886,1500,FTP_Patator,cliffs_delta,42,0.09342680065753717
-0.14102257777777782,-0.23715071111111113,1500,SSH_Patator,cliffs_delta,42,-0.1809205761517657
0.8338525111111111,0.7889829777777778,1500,DoS_Slowhttptest,cliffs_delta,42,0.8158924837957409
0.09238107497741639,-0.010542502258355888,738,Bot,cliffs_delta,42,0.06611687223964657
0.7395896491228069,0.6383192982456142,190,Web_Attack,cliffs_delta,42,0.6731323180437121
0.8876,0.7732802083333333,32,Infiltration,cliffs_delta,42,0.8302783320794493
0.8595880829015544,0.8095900978698906,579,DoS_Hulk_attempted,cliffs_delta,42,0.852951919400053
0.6163104166666667,0.5285845833333334,80,DoS_GoldenEye_attempted,cliffs_delta,42,0.5419366875736742
0.7514581111111112,0.6838082,1500,DoS_slowloris_attempted,cliffs_delta,42,0.7357981285885307
0.891717688888889,0.8566486666666667,1500,DoS_Slowhttptest_attempted,cliffs_delta,42,0.8716963926630767
0.5423921541950114,0.4514001814058958,1470,Bot_attempted,cliffs_delta,42,0.5340618888033808
0.7312379690949228,0.621287637969095,151,WebAttack_BruteForce,cliffs_delta,42,0.6804913452694636
0.24516136738056019,0.14325249862712797,1214,WebAttack_BruteForce_attempted,cliffs_delta,42,0.17806924333564478
