group,metric,seed,value
DDoS,posterior_mahalanobis_p75,0,5.432156273496743
DoS_GoldenEye,posterior_mahalanobis_mean,0,5.06525554750492
DoS_GoldenEye,posterior_mahalanobis_median,0,4.869078611432062
DoS_GoldenEye,posterior_mahalanobis_p25,0,4.0962230078117905
DoS_GoldenEye,posterior_mahalanobis_p75,0,5.94781895801823
DoS_slowloris,posterior_mahalanobis_mean,0,6.384707041141335
DoS_slowloris,posterior_mahalanobis_median,0,6.717388660106886
DoS_slowloris,posterior_mahalanobis_p25,0,4.379903179389707
DoS_slowloris,posterior_mahalanobis_p75,0,7.958923927111225
FTP_Patator,posterior_mahalanobis_mean,0,3.274962879018025
FTP_Patator,posterior_mahalanobis_median,0,3.271305057870948
FTP_Patator,posterior_mahalanobis_p25,0,3.082213242407175
FTP_Patator,posterior_mahalanobis_p75,0,3.4571684016461126
SSH_Patator,posterior_mahalanobis_mean,0,3.0885585369468473
SSH_Patator,posterior_mahalanobis_median,0,3.0767937676147055
SSH_Patator,posterior_mahalanobis_p25,0,2.881902516797813
SSH_Patator,posterior_mahalanobis_p75,0,3.2789353248751714
DoS_Slowhttptest,posterior_mahalanobis_mean,0,5.5013068999451935
DoS_Slowhttptest,posterior_mahalanobis_median,0,4.575187739983825
DoS_Slowhttptest,posterior_mahalanobis_p25,0,4.1638842133851135
DoS_Slowhttptest,posterior_mahalanobis_p75,0,6.341057113982218
Bot,posterior_mahalanobis_mean,0,3.686771840350181
Bot,posterior_mahalanobis_median,0,3.4678382582525256
Bot,posterior_mahalanobis_p25,0,3.260818440202434
Bot,posterior_mahalanobis_p75,0,3.6889163363708857
Web_Attack,posterior_mahalanobis_mean,0,4.8863194020331555
Web_Attack,posterior_mahalanobis_median,0,4.887247875050564
Web_Attack,posterior_mahalanobis_p25,0,4.321198709281605
Web_Attack,posterior_mahalanobis_p75,0,5.446454852887237
Infiltration,posterior_mahalanobis_mean,0,25.13221679327284
Infiltration,posterior_mahalanobis_median,0,5.088753777682596
Infiltration,posterior_mahalanobis_p25,0,4.521751353890836
Infiltration,posterior_mahalanobis_p75,0,10.438634392065754
DoS_Hulk_attempted,posterior_mahalanobis_mean,0,5.191025083602528
DoS_Hulk_attempted,posterior_mahalanobis_median,0,4.650662088491826
DoS_Hulk_attempted,posterior_mahalanobis_p25,0,4.057880840701699
DoS_Hulk_attempted,posterior_mahalanobis_p75,0,6.411754085082501
DoS_GoldenEye_attempted,posterior_mahalanobis_mean,0,3.6433027573304897
DoS_GoldenEye_attempted,posterior_mahalanobis_median,0,3.585583149231572
DoS_GoldenEye_attempted,posterior_mahalanobis_p25,0,3.4466022343558484
DoS_GoldenEye_attempted,posterior_mahalanobis_p75,0,3.7209056452705878
DoS_slowloris_attempted,posterior_mahalanobis_mean,0,4.257684533170548
DoS_slowloris_attempted,posterior_mahalanobis_median,0,4.270443614253216
DoS_slowloris_attempted,posterior_mahalanobis_p25,0,4.147791929702196
DoS_slowloris_attempted,posterior_mahalanobis_p75,0,4.391307587379126
DoS_Slowhttptest_attempted,posterior_mahalanobis_mean,0,5.350622700178078
DoS_Slowhttptest_attempted,posterior_mahalanobis_median,0,5.57554744350617
DoS_Slowhttptest_attempted,posterior_mahalanobis_p25,0,5.431675449172124
DoS_Slowhttptest_attempted,posterior_mahalanobis_p75,0,5.684342177411731
Bot_attempted,posterior_mahalanobis_mean,0,3.5668578197840626
Bot_attempted,posterior_mahalanobis_median,0,3.5541366103443055
Bot_attempted,posterior_mahalanobis_p25,0,3.3689129746250175
Bot_attempted,posterior_mahalanobis_p75,0,3.74635285203846
