auc_a,auc_b,diff,group,p_value,score_a,score_b,seed,z
0.6730005893017572,0.7636206599971321,-0.09062007069537492,PortScan,0.0,nll_mc,latent_maha,42,-111.23005610694582
0.6730005893017572,0.6759199119674358,-0.0029193226656786253,PortScan,0.0,nll_mc,nll_mu,42,-28.354970229822282
0.6730005893017572,0.7414394822990903,-0.06843889299733308,PortScan,0.0,nll_mc,mse,42,-172.48464650463117
0.9139578278545093,0.8487502579319426,0.06520756992256671,DoS_Hulk,0.0,nll_mc,latent_maha,42,110.33438764558308
0.9139578278545093,0.9175732952949458,-0.003615467440436504,DoS_Hulk,0.0,nll_mc,nll_mu,42,-79.12928151895693
0.9139578278545093,0.8318091968690209,0.08214863098548841,DoS_Hulk,0.0,nll_mc,mse,42,134.15990660412484
0.9682583932161704,0.9715528365784034,-0.003294443362233057,DDoS,0.0,nll_mc,latent_maha,42,-10.868118337473325
0.9682583932161704,0.969614924875708,-0.0013565316595376409,DDoS,0.0,nll_mc,nll_mu,42,-56.960867346271556
0.9682583932161704,0.8372966100761563,0.13096178314001405,DDoS,0.0,nll_mc,mse,42,207.8900648198714
0.9504773211887924,0.8920055040726143,0.058471817116178104,DoS_GoldenEye,0.0,nll_mc,latent_maha,42,44.50248178756008
0.9504773211887924,0.9511711331927832,-0.0006938120039908791,DoS_GoldenEye,0.0,nll_mc,nll_mu,42,-19.114921493313034
0.9504773211887924,0.8560348651627988,0.09444245602599355,DoS_GoldenEye,0.0,nll_mc,mse,42,131.5845826844074
0.9409420157543039,0.9198865128564798,0.021055502897824097,DoS_slowloris,0.0,nll_mc,latent_maha,42,16.199806649163808
0.9409420157543039,0.9410374332603982,-9.541750609431965e-05,DoS_slowloris,0.25760877096428647,nll_mc,nll_mu,42,-1.1320610446619175
0.9409420157543039,0.8972758007387448,0.04366621501555912,DoS_slowloris,0.0,nll_mc,mse,42,33.58571808403707
0.9299466288236996,0.5467134104550141,0.3832332183686855,FTP_Patator,0.0,nll_mc,latent_maha,42,391.29517712012927
0.9299466288236996,0.9327101404291206,-0.0027635116054209874,FTP_Patator,0.0,nll_mc,nll_mu,42,-45.65248864117469
0.9299466288236996,0.8089972577347764,0.12094937108892323,FTP_Patator,0.0,nll_mc,mse,42,168.82472858904163
