seed,run_name,checkpoint_epoch,val_loss,val_recon,val_kl,total_train_seconds,reused_official,val_loss_zscore,flagged_anomalous
42,"vae_k8_beta1_input51_best (oficial, no reentrenado)",52,-185.27911716408389,-193.45976026404276,8.180642477906629,,True,1.1818423135465637,False
0,vae_k8_beta1_input51_seed0,99,-185.49539289373195,-193.57977853313994,8.084385288018753,906.5654581999988,False,1.0628921565526417,False
1,vae_k8_beta1_input51_seed1,100,-190.0013450423659,-195.9654534562439,5.964108666001619,1059.5592403000046,False,-1.4153503922497566,False
2,vae_k8_beta1_input51_seed2,100,-187.362897323741,-193.85812566515943,6.495228192796268,931.5186085000023,False,0.035777623184035344,False
3,vae_k8_beta1_input51_seed3,85,-186.290122803638,-193.93388046200803,7.643758030048244,881.4022856999945,False,0.6257961971265732,False
4,vae_k8_beta1_input51_seed4,100,-188.0133488827286,-194.39856249045283,6.385213822216553,803.9249799999961,False,-0.32196624009835173,False
5,vae_k8_beta1_input51_seed5,97,-188.55750673194004,-194.59479025750824,6.037283562524241,767.9095260000031,False,-0.6212492974183094,False
6,vae_k8_beta1_input51_seed6,100,-189.52877993846116,-195.58550217121714,6.056721562605638,792.2215721999964,False,-1.1554428501931893,False
7,vae_k8_beta1_input51_seed7,100,-188.72437810440482,-194.6478591609546,5.923480925484796,772.5750926999899,False,-0.7130273993106367,False
8,vae_k8_beta1_input51_seed8,98,-185.02659476396545,-193.07959654347323,8.053001700132116,806.6496987999999,False,1.3207278888603047,False
