ci_high,ci_low,group,metric,n_repeats,n_subsample_per_side,seed,value
0.5615530639059331,0.5368379125059317,PortScan,mmd2_rbf,20,1500,42,0.5498717110155186
0.9710939955476793,0.8721860513913804,PortScan,sliced_wasserstein,20,1500,42,0.9246807146092442
3.0346083875226184,2.882290367983007,PortScan,energy_distance,20,1500,42,2.958257586781329
0.5727440618872065,0.5460036920003746,DoS_Hulk,mmd2_rbf,20,1500,42,0.558423317416175
1.0429363582593985,0.9387659530234407,DoS_Hulk,sliced_wasserstein,20,1500,42,0.9912749152256423
3.1039055284631667,2.932909453673633,DoS_Hulk,energy_distance,20,1500,42,3.0158191185521157
0.6834252279390092,0.6622129699613272,DDoS,mmd2_rbf,20,1500,42,0.6726657812019371
1.3003215711564582,1.1602328115639458,DDoS,sliced_wasserstein,20,1500,42,1.2323029070857783
4.0823061128365605,3.917544400084405,DDoS,energy_distance,20,1500,42,3.998080087549236
0.4263155126812631,0.3884281496938376,DoS_GoldenEye,mmd2_rbf,20,1500,42,0.4049774885195097
0.9389451287595396,0.8227264955161679,DoS_GoldenEye,sliced_wasserstein,20,1500,42,0.8841774434229785
2.3738252930692467,2.1530284493275005,DoS_GoldenEye,energy_distance,20,1500,42,2.247100818135382
0.41678945085898256,0.39521583188817844,DoS_slowloris,mmd2_rbf,20,1500,42,0.40609924108043627
1.349823309986192,1.163531047061626,DoS_slowloris,sliced_wasserstein,20,1500,42,1.2353433890515864
3.483223415784667,3.2879788547235953,DoS_slowloris,energy_distance,20,1500,42,3.3966697198182354
0.4872564683591334,0.4673451441097229,FTP_Patator,mmd2_rbf,20,1500,42,0.4781171040882756
0.8751035774134004,0.8084628022584837,FTP_Patator,sliced_wasserstein,20,1500,42,0.8417846090930736
2.566765305290812,2.473504530298949,FTP_Patator,energy_distance,20,1500,42,2.5226479717337282
0.3808101040084019,0.3545040021889669,SSH_Patator,mmd2_rbf,20,1500,42,0.36817443468171596
0.761032187992175,0.7012645793343303,SSH_Patator,sliced_wasserstein,20,1500,42,0.7314259782206295
1.9451611184513828,1.8441574120122513,SSH_Patator,energy_distance,20,1500,42,1.897067827498082
0.39960659083400313,0.37787221069008203,DoS_Slowhttptest,mmd2_rbf,20,1500,42,0.3872051912061113
1.104448347676306,0.9663358157454744,DoS_Slowhttptest,sliced_wasserstein,20,1500,42,1.0291032391993922
2.6800742586516755,2.5452237160509945,DoS_Slowhttptest,energy_distance,20,1500,42,2.6055263040137473
