auc_a,auc_b,diff,family_a,family_b,p_holm,p_value,score,seed,z
0.6759199119674358,0.9175732952949458,-0.24165338332750996,PortScan,DoS_Hulk,0.0,0.0,nll_mu,42,-319.32686317086444
0.6759199119674358,0.969614924875708,-0.29369501290827216,PortScan,DDoS,0.0,0.0,nll_mu,42,-357.6795640591184
0.6759199119674358,0.9511711331927832,-0.2752512212253474,PortScan,DoS_GoldenEye,0.0,0.0,nll_mu,42,-302.41102129715244
0.6759199119674358,0.9410374332603982,-0.2651175212929624,PortScan,DoS_slowloris,0.0,0.0,nll_mu,42,-131.02683399244827
0.6759199119674358,0.9327101404291206,-0.25679022846168476,PortScan,FTP_Patator,0.0,0.0,nll_mu,42,-317.41370889969176
0.6759199119674358,0.9823937024465845,-0.3064737904791487,PortScan,SSH_Patator,0.0,0.0,nll_mu,42,-297.81769725933714
0.6759199119674358,0.9907795666806473,-0.3148596547132114,PortScan,DoS_Slowhttptest,0.0,0.0,nll_mu,42,-324.1578380383463
0.6759199119674358,0.6448343930536798,0.031085518913755994,PortScan,Bot,0.0,0.0,nll_mu,42,8.935055429424118
0.6759199119674358,0.9444346606435061,-0.2685147486760703,PortScan,Web_Attack,0.0,0.0,nll_mu,42,-45.46286669088109
0.6759199119674358,0.9927627172002044,-0.31684280523276853,PortScan,Infiltration,0.0,0.0,nll_mu,42,-152.6963414913059
0.9175732952949458,0.969614924875708,-0.052041629580762194,DoS_Hulk,DDoS,0.0,0.0,nll_mu,42,-149.74714392681864
0.9175732952949458,0.9511711331927832,-0.033597837897837435,DoS_Hulk,DoS_GoldenEye,0.0,0.0,nll_mu,42,-62.29983202898879
0.9175732952949458,0.9410374332603982,-0.023464137965452436,DoS_Hulk,DoS_slowloris,0.0,0.0,nll_mu,42,-12.102746777974488
0.9175732952949458,0.9327101404291206,-0.015136845134174792,DoS_Hulk,FTP_Patator,0.0,0.0,nll_mu,42,-65.6095447695393
0.9175732952949458,0.9823937024465845,-0.06482040715163873,DoS_Hulk,SSH_Patator,0.0,0.0,nll_mu,42,-88.08988099724348
0.9175732952949458,0.9907795666806473,-0.07320627138570146,DoS_Hulk,DoS_Slowhttptest,0.0,0.0,nll_mu,42,-111.65292305876784
0.9175732952949458,0.6448343930536798,0.27273890224126596,DoS_Hulk,Bot,0.0,0.0,nll_mu,42,76.63883474911697
0.9175732952949458,0.9444346606435061,-0.026861365348560318,DoS_Hulk,Web_Attack,3.310973465797673e-05,4.729962093996676e-06,nll_mu,42,-4.576421884673783
0.9175732952949458,0.9927627172002044,-0.07518942190525857,DoS_Hulk,Infiltration,0.0,0.0,nll_mu,42,-38.620827283431694
0.969614924875708,0.9511711331927832,0.01844379168292476,DDoS,DoS_GoldenEye,0.0,0.0,nll_mu,42,36.07208365059891
0.969614924875708,0.9410374332603982,0.028577491615309758,DDoS,DoS_slowloris,0.0,0.0,nll_mu,42,14.992507775222524
0.969614924875708,0.9327101404291206,0.0369047844465874,DDoS,FTP_Patator,0.0,0.0,nll_mu,42,110.43278874055015
0.969614924875708,0.9823937024465845,-0.012778777570876532,DDoS,SSH_Patator,0.0,0.0,nll_mu,42,-20.91187512751552
0.969614924875708,0.9907795666806473,-0.021164641804939266,DDoS,DoS_Slowhttptest,0.0,0.0,nll_mu,42,-42.01210164382224
0.969614924875708,0.6448343930536798,0.32478053182202815,DDoS,Bot,0.0,0.0,nll_mu,42,91.0288177101831
0.969614924875708,0.9444346606435061,0.025180264232201877,DDoS,Web_Attack,0.00010505091206791661,1.750848534465277e-05,nll_mu,42,4.294503330265385
0.969614924875708,0.9927627172002044,-0.023147792324496375,DDoS,Infiltration,0.0,0.0,nll_mu,42,-12.17216986400786
0.9511711331927832,0.9410374332603982,0.010133699932384999,DoS_GoldenEye,DoS_slowloris,2.0787544432465666e-06,2.598443054058208e-07,nll_mu,42,5.1504629181257515
0.9511711331927832,0.9327101404291206,0.018460992763662643,DoS_GoldenEye,FTP_Patator,0.0,0.0,nll_mu,42,33.46420098822161
0.9511711331927832,0.9823937024465845,-0.03122256925380129,DoS_GoldenEye,SSH_Patator,0.0,0.0,nll_mu,42,-39.030048178679074
0.9511711331927832,0.9907795666806473,-0.039608433487864025,DoS_GoldenEye,DoS_Slowhttptest,0.0,0.0,nll_mu,42,-55.151525426380545
0.9511711331927832,0.6448343930536798,0.3063367401391034,DoS_GoldenEye,Bot,0.0,0.0,nll_mu,42,85.29977790921465
0.9511711331927832,0.9444346606435061,0.006736472549277117,DoS_GoldenEye,Web_Attack,0.7564598508192932,0.2521532836064311,nll_mu,42,1.145134892222522
0.9511711331927832,0.9927627172002044,-0.041591584007421134,DoS_GoldenEye,Infiltration,0.0,0.0,nll_mu,42,-21.127755127624287
0.9410374332603982,0.9327101404291206,0.008327292831277644,DoS_slowloris,FTP_Patator,0.00010505091206791661,1.803089232521593e-05,nll_mu,42,4.287975564002543
0.9410374332603982,0.9823937024465845,-0.04135626918618629,DoS_slowloris,SSH_Patator,0.0,0.0,nll_mu,42,-20.773386785637364
0.9410374332603982,0.9907795666806473,-0.049742133420249024,DoS_slowloris,DoS_Slowhttptest,0.0,0.0,nll_mu,42,-25.454556175915542
0.9410374332603982,0.6448343930536798,0.2962030402067184,DoS_slowloris,Bot,0.0,0.0,nll_mu,42,73.74128675710784
0.9410374332603982,0.9444346606435061,-0.0033972273831078814,DoS_slowloris,Web_Attack,0.7564598508192932,0.5813353573246012,nll_mu,42,-0.5514352276702063
0.9410374332603982,0.9927627172002044,-0.05172528393980613,DoS_slowloris,Infiltration,0.0,0.0,nll_mu,42,-19.310084615974993
