auc_full_benign,auc_matched_n_ci_high,auc_matched_n_ci_low,auc_matched_n_mean,group,n_target,seed
0.6730005900101352,0.6740268118132476,0.6716802270534391,0.6728190165965094,PortScan,159023,42
0.9139578291238922,0.9146152438060139,0.9132460096421434,0.9139534561338715,DoS_Hulk,158469,42
0.9682583925183148,0.9689959345037291,0.9675975940311349,0.9683163041528623,DDoS,95123,42
0.9504773211887922,0.9533564279625338,0.9474347168903305,0.9506059531896974,DoS_GoldenEye,7567,42
0.9409420117321521,0.9437401740542121,0.9381012774486959,0.9408227145288158,DoS_slowloris,4001,42
0.9299466116090824,0.9363615618614675,0.9215251113908891,0.9295763573134515,FTP_Patator,3973,42
0.9763411120584581,0.9804022862145849,0.9725028813454348,0.9762782222647628,SSH_Patator,2980,42
0.9908591891667821,0.99367728774216,0.9880357936098892,0.9909867661383973,DoS_Slowhttptest,1742,42
0.6401584157979727,0.6756753035010024,0.6120897320084311,0.6414712270767694,Bot,738,42
0.9449462580296397,0.9595318559556787,0.9316405817174516,0.9440124653739613,Web_Attack,190,42
0.9927251258242443,1.0,0.9711669921875,0.993251953125,Infiltration,32,42
