group,metric,seed,value
DoS_Hulk_attempted,mahalanobis_mean_robust_mcd,42,1967.6536472463526
DoS_Hulk_attempted,mahalanobis_median_robust_mcd,42,1889.648716769495
DoS_GoldenEye_attempted,mahalanobis_mean,42,2.9227625255209118
DoS_GoldenEye_attempted,mahalanobis_median,42,2.85960707182576
DoS_GoldenEye_attempted,mahalanobis_p5,42,2.85946691707945
DoS_GoldenEye_attempted,mahalanobis_p25,42,2.8595529204261503
DoS_GoldenEye_attempted,mahalanobis_p75,42,2.86123405681371
DoS_GoldenEye_attempted,mahalanobis_p95,42,2.8631791880365376
DoS_GoldenEye_attempted,mahalanobis_iqr,42,0.001681136387559512
DoS_GoldenEye_attempted,mahalanobis_mean_robust_mcd,42,1852.7850672686084
DoS_GoldenEye_attempted,mahalanobis_median_robust_mcd,42,1841.973783693993
DoS_slowloris_attempted,mahalanobis_mean,42,3.6412393214533885
DoS_slowloris_attempted,mahalanobis_median,42,3.705277101868512
DoS_slowloris_attempted,mahalanobis_p5,42,3.7052264350402018
DoS_slowloris_attempted,mahalanobis_p25,42,3.70526032647044
DoS_slowloris_attempted,mahalanobis_p75,42,3.7052899401503616
DoS_slowloris_attempted,mahalanobis_p95,42,3.7053086385779386
DoS_slowloris_attempted,mahalanobis_iqr,42,2.961367992160291e-05
DoS_slowloris_attempted,mahalanobis_mean_robust_mcd,42,1780.0870830544754
DoS_slowloris_attempted,mahalanobis_median_robust_mcd,42,1776.8518771834301
DoS_Slowhttptest_attempted,mahalanobis_mean,42,4.919170693693949
DoS_Slowhttptest_attempted,mahalanobis_median,42,5.352760779727077
DoS_Slowhttptest_attempted,mahalanobis_p5,42,2.5752744849538836
DoS_Slowhttptest_attempted,mahalanobis_p25,42,5.351662411067302
DoS_Slowhttptest_attempted,mahalanobis_p75,42,5.353584260138635
DoS_Slowhttptest_attempted,mahalanobis_p95,42,5.354658082514943
DoS_Slowhttptest_attempted,mahalanobis_iqr,42,0.0019218490713326375
DoS_Slowhttptest_attempted,mahalanobis_mean_robust_mcd,42,2205.6699004817283
DoS_Slowhttptest_attempted,mahalanobis_median_robust_mcd,42,2272.73494985582
Bot_attempted,mahalanobis_mean,42,2.8639404393010417
Bot_attempted,mahalanobis_median,42,2.8638585464887196
Bot_attempted,mahalanobis_p5,42,2.8610770406338584
Bot_attempted,mahalanobis_p25,42,2.862827175117144
Bot_attempted,mahalanobis_p75,42,2.865124032905018
Bot_attempted,mahalanobis_p95,42,2.8666522439116355
Bot_attempted,mahalanobis_iqr,42,0.0022968577878739183
Bot_attempted,mahalanobis_mean_robust_mcd,42,1822.7740501593232
Bot_attempted,mahalanobis_median_robust_mcd,42,1823.000249530918
WebAttack_BruteForce,mahalanobis_mean,42,3.9043438527117584
WebAttack_BruteForce,mahalanobis_median,42,3.5810609534025653
WebAttack_BruteForce,mahalanobis_p5,42,1.7745365284671437
WebAttack_BruteForce,mahalanobis_p25,42,2.735820307968737
WebAttack_BruteForce,mahalanobis_p75,42,5.205215366703081
WebAttack_BruteForce,mahalanobis_p95,42,5.263252604048761
WebAttack_BruteForce,mahalanobis_iqr,42,2.469395058734344
