auc_pr,auc_pr_ci_high,auc_pr_ci_low,auc_pr_ci_method,auc_roc,auc_roc_ci_high,auc_roc_ci_low,auc_roc_ci_method,fpr_realized_on_test_benign_at_fpr1,fpr_realized_on_test_benign_at_fpr10,fpr_realized_on_test_benign_at_fpr5,group,n_neg,n_pos,pauc_mcclish_fpr0.10,prevalence,score,seed,tpr_at_fpr1,tpr_at_fpr10,tpr_at_fpr5,tpr_at_tau_p95
0.449232175381682,0.5661706543943874,0.5355798311302251,bootstrap_subsampled_max1500_per_side,0.6759199328645886,0.6776300368535748,0.6742098288756024,delong_analytic,0.01035560687316192,0.10063123337933143,0.05077626819975781,PortScan,248561,159023,0.47439587973461933,0.39016006516448143,nll_mu,42,2.5153594134181846e-05,0.004678568508957824,0.000245247542808273,
0.4427218389160903,0.5578419579363321,0.527694934295981,bootstrap_subsampled_max1500_per_side,0.6730005900101352,0.674707540437042,0.6712936395832285,delong_analytic,0.010351583715868539,0.1003455892115014,0.05063545769448948,PortScan,248561,159023,0.4743591832744579,0.39016006516448143,nll_mc,42,2.5153594134181846e-05,0.004364148582280551,0.0003835923105462732,0.0003835923105462732
0.433500024376913,0.5489430759632073,0.5194601493591238,bootstrap_subsampled_max1500_per_side,0.659995659160952,0.6617202483630265,0.6582710699588776,delong_analytic,0.010363653187748682,0.10034156605420802,0.0504021145714734,PortScan,248561,159023,0.4748420303243942,0.39016006516448143,neg_elbo,42,2.5153594134181846e-05,0.006326128924746734,0.0016538488143224566,
0.515072725017442,0.6385913954307781,0.6021889523385207,bootstrap_subsampled_max1500_per_side,0.7414394798324166,0.7429885297370168,0.7398904299278165,delong_analytic,0.009997545874051038,0.10059904812098439,0.05020095670680436,PortScan,248561,159023,0.47385410319323606,0.39016006516448143,mse,42,6.2883985335454616e-06,0.001961980342466184,0.000490495085616546,
0.5199814133206355,0.6375787428513592,0.5998708797656747,bootstrap_subsampled_max1500_per_side,0.763620611928621,0.76522800029476,0.7620132235624819,delong_analytic,0.010078009019918652,0.10156058271410237,0.050647527166369624,PortScan,248561,159023,0.48139395457729833,0.39016006516448143,latent_maha,42,0.011325405758915377,0.019173327128780112,0.01550719078372311,
0.7437431726113831,0.8199613582049803,0.7706938865329749,bootstrap_subsampled_max1500_per_side,0.9175733022257772,0.9185707361914668,0.9165758682600875,delong_analytic,0.01035560687316192,0.10063123337933143,0.05077626819975781,DoS_Hulk,248561,158469,0.5793961748942074,0.3893300248138958,nll_mu,42,0.014135256737910884,0.8208987246717023,0.06729391868441147,
0.7379434999657931,0.8160961859251613,0.7659054599437749,bootstrap_subsampled_max1500_per_side,0.9139578291238922,0.9149657628414359,0.9129498954063485,delong_analytic,0.010351583715868539,0.1003455892115014,0.05063545769448948,DoS_Hulk,248561,158469,0.570674618159429,0.3893300248138958,nll_mc,42,0.01392070373385331,0.7418611842063747,0.07482220497384347,0.07482220497384347
0.7269326266069873,0.8060716876084881,0.7555971322897098,bootstrap_subsampled_max1500_per_side,0.9076701649653155,0.9087074658418005,0.9066328640888305,delong_analytic,0.010363653187748682,0.10034156605420802,0.0504021145714734,DoS_Hulk,248561,158469,0.5518317548247436,0.3893300248138958,neg_elbo,42,0.014696880777943951,0.6570433333964372,0.07622310988268999,
0.5869065578985251,0.6861660811250253,0.6474984615954584,bootstrap_subsampled_max1500_per_side,0.8318092004359873,0.8332350062058018,0.8303833946661727,delong_analytic,0.009997545874051038,0.10059904812098439,0.05020095670680436,DoS_Hulk,248561,158469,0.4738628677343852,0.3893300248138958,mse,42,6.310382472281645e-06,0.001508181410875313,0.000195621856640731,
0.6689961010706489,0.7611222740861983,0.7133634907786712,bootstrap_subsampled_max1500_per_side,0.8487502588205107,0.8499590132091103,0.8475415044319111,delong_analytic,0.010078009019918652,0.10156058271410237,0.050647527166369624,DoS_Hulk,248561,158469,0.5560659190458104,0.3893300248138958,latent_maha,42,0.03219557137358095,0.2689421905861714,0.16859448851194872,
