epoch,train_total,train_recon,train_kl,val_total,val_recon,val_kl,seconds
1,-127.09105083288763,-139.85787883507646,12.766827873542248,-161.01522713603796,-173.77623129735088,12.761004082735305,8.59230970000499
2,-165.9258942916506,-177.85237606143968,11.926481750185275,-168.8692638877277,-180.11694372868976,11.24767987687449,8.929949299999862
3,-170.27893737980924,-181.11965476684742,10.84071714970075,-171.6147784087909,-181.96495212521782,10.350173326424168,8.234568200001377
4,-172.6114893980039,-182.75714945968684,10.145659984267425,-173.01541973073498,-182.96745169461252,9.952032037973787,7.72793890000321
5,-174.3954099733889,-184.23932297460706,9.843913081159391,-174.9345286093995,-184.6444509220768,9.70992231218616,7.4768501999933505
6,-175.6937985283237,-185.30746991632552,9.613671553494742,-175.93294626266044,-185.38232467253567,9.449378055232415,7.654093999997713
7,-176.69686646233532,-186.05148760232805,9.354621297188322,-176.85463434224886,-186.0813561583471,9.226721929790202,7.9604246000089915
8,-177.49077249579392,-186.64758103528882,9.156808259302682,-177.6136818641783,-186.69266270495396,9.078980851518713,7.832308800003375
9,-178.13138051478916,-187.10199452083552,8.970614135738714,-178.30497753387638,-187.13327668444458,8.828299049706485,8.269010600008187
10,-178.7578030489138,-187.5306205816206,8.772817339549526,-178.58212747711977,-187.24281059095705,8.660683086580658,7.79860429999826
11,-179.31106303451807,-187.93587100388876,8.624808001122869,-179.41776905286952,-188.04519578082252,8.627426734521606,7.754635699995561
12,-179.83822415582895,-188.3782602890363,8.54003638802411,-179.9432997837073,-188.53409634121445,8.590796406920562,7.77726370000164
13,-180.47621794956888,-188.95148224300115,8.47526412364762,-180.64381501314762,-189.06393093260147,8.420115750512013,7.62128429999575
14,-181.0247579303065,-189.41047729915874,8.385719291117729,-181.09189611851767,-189.45859941446324,8.366703834202193,7.575119000000996
15,-181.394369237964,-189.7294170696391,8.335047716295058,-181.46170504311868,-189.73473287287118,8.273027615751298,7.694820600008825
16,-181.6752224191544,-189.9652239370363,8.290001644808477,-181.55065187688115,-189.80414934161394,8.253497059812567,7.852731100007077
17,-181.8992589023358,-190.14659564686744,8.247336690028362,-181.9600186498057,-190.15535797718294,8.19533908538278,8.044649799994659
18,-182.06977589478745,-190.2669787554172,8.197202880453894,-182.1019430906396,-190.25752900574497,8.155585786127606,7.661598299993784
19,-182.25410365612075,-190.39908218211463,8.144978617159351,-182.25156721760308,-190.36424092420782,8.112673987888009,7.638119600000209
20,-182.42535375638707,-190.5238952623038,8.09854150300952,-182.3250365798405,-190.45131790755377,8.126281362520677,7.587474100000691
21,-182.57399968589857,-190.61605700567074,8.042057331399286,-182.5255877025495,-190.5606808802688,8.035093308047616,7.5221622999961255
22,-182.72403158073362,-190.71830455993123,7.994272850707262,-182.75713152779542,-190.71635948355495,7.959227711616469,7.565167500011739
23,-182.8551150731937,-190.79678188201203,7.941666725509475,-182.95775525031996,-190.90407645793678,7.946321178518541,7.544471300003352
24,-183.00154223516714,-190.8911215855605,7.889579537456743,-183.09111184720868,-190.9475077510916,7.85639632872381,7.722844500007341
25,-183.12102713424395,-190.9718514221356,7.850824562532537,-183.1749317602594,-190.98666204643433,7.811730340289118,8.177731999996467
26,-183.2481369760323,-191.0582900570712,7.8101532657771955,-183.17505916108033,-190.97436805825774,7.799308998407487,7.81540789999417
27,-183.36875614536868,-191.1442741506621,7.775517744303819,-183.35341746683554,-191.0441184985281,7.690700932825958,8.139744799991604
28,-183.48211610083692,-191.23028403255208,7.748167997804457,-183.45615050798065,-191.18089114097987,7.724740567927119,8.28084979999403
29,-183.59386234276673,-191.33131741258467,7.7374550580115935,-183.44164351704882,-191.1581351003656,7.7164914400354245,8.169582699993043
30,-183.73655241494475,-191.46038289539703,7.723830378202289,-183.78989842429897,-191.49196597695695,7.702067449709054,8.026384900003904
31,-183.85223661505992,-191.56176484147005,7.709528292218245,-183.7307352606875,-191.42494469708018,7.694209755798379,7.803316100005759
32,-183.99137484560444,-191.6542281328627,7.662853258031755,-184.02261887652566,-191.61967709003864,7.59705791034459,8.039452700002585
33,-184.23362783063354,-191.7906678510841,7.557039861913198,-184.3624908368688,-191.87159010804578,7.509098907878324,7.7767775999964215
34,-184.51836188063706,-192.0412897950052,7.522927840019345,-184.61589872902292,-192.155836815369,7.539938147090277,7.884800800005905
35,-184.6882835642096,-192.24813504449872,7.5598516235127535,-184.71282239802827,-192.33994187182233,7.627118809414248,7.82589549999102
36,-184.80505534091233,-192.41696727593657,7.611911848448126,-185.00310203078325,-192.6134256618906,7.610323457315799,7.599292400002014
37,-184.96059803171008,-192.62022689195643,7.659629068296462,-185.06769819453018,-192.76125474333725,7.693557144830494,7.947180900009698
38,-185.0666956671655,-192.7556083380929,7.688912866748534,-185.06694685706074,-192.77578031492646,7.708833735496391,8.381003899994539
39,-185.1417116128203,-192.83410882652697,7.692397115424486,-185.14473456857593,-192.8685531139834,7.723818130266026,8.747062900001765
40,-185.19262759397026,-192.8846352490089,7.69200773506045,-185.17994898172066,-192.92414062716088,7.7441916809229365,8.236356699999305
41,-185.23456209413717,-192.93309374337088,7.6985317046578166,-185.27896840390494,-192.94382737340518,7.664858887761131,7.813534200002323
42,-185.27246583658015,-192.96915779121267,7.696691939918974,-185.31641345556656,-193.01440268799848,7.697989281389465,7.854718800008413
43,-185.31668980594927,-193.01074562356501,7.694055762610927,-185.32213976430018,-193.01001498514253,7.687874856745656,7.898633499993593
44,-185.32572263653265,-193.0201955069141,7.6944730399655,-185.27090466084647,-192.98955961337302,7.7186550430135785,7.7087233000056585
45,-185.3616448248932,-193.05839284140922,7.696748058048749,-185.37380449966022,-193.03113573539054,7.657331422382818,8.161386899999343
46,-185.38854565889912,-193.0806784575608,7.692133029523673,-185.40059615062447,-193.0709549573905,7.6703583563567355,8.228834900000948
47,-185.4187122927159,-193.11143819742023,7.692725995871445,-185.4808248882705,-193.1877628047711,7.7069378117100005,8.416701499998453
48,-185.43780275120884,-193.126435958041,7.688633141946499,-185.4389949743334,-193.1084352854866,7.669440591699792,8.11496600000828
49,-185.45456013376634,-193.13877954000156,7.684219506602431,-185.4734001471523,-193.20406335217416,7.730663047467623,8.039697200001683
50,-185.48388352483704,-193.1704664392906,7.6865829127303025,-185.54944625476338,-193.20229453782696,7.652848247028372,8.206577200005995
51,-185.50574651940974,-193.19580000633187,7.690053432139297,-185.49267623405345,-193.19325362820314,7.700577163757678,8.231119200005196
52,-185.52102673361438,-193.20557250056785,7.68454588768582,-185.52561892634387,-193.2395021682312,7.713883330778251,8.368766700004926
53,-185.5601411705992,-193.24827082418494,7.688129712859263,-185.5986556127749,-193.25828068208034,7.659624452072207,8.226222600002075
54,-185.58046644970284,-193.26401864594757,7.683552353760975,-185.52798299847748,-193.18416512412276,7.656181845651165,8.029397899998003
55,-185.64018538015736,-193.32266415045012,7.682478800259215,-185.69540422658733,-193.35223073182783,7.656826785081139,8.013070899993181
56,-185.70197594225863,-193.39238361549556,7.6904079128189045,-185.80280658192754,-193.52797957740492,7.725173153522738,8.061798799986718
57,-185.77953910740158,-193.47350015011364,7.693960974618313,-185.70823610598612,-193.37938684636003,7.671150904895794,7.655192300007911
58,-185.85823964058238,-193.57296520070128,7.714725468312114,-185.93138244648551,-193.68474998903844,7.753367139443655,7.93566090000968
59,-185.9171742243847,-193.6572154483417,7.740041274291894,-185.99677788986438,-193.76504930509108,7.768271478733373,7.79884299999685
60,-185.95225082151362,-193.7116232393056,7.759372367417612,-185.96159651565674,-193.75345590503645,7.791859414794647,7.933022800003528
61,-185.9916016531518,-193.7690740185154,7.777472305126511,-186.05179715336118,-193.82430843651622,7.772511659437412,8.096241599996574
62,-186.01224686315788,-193.798156666246,7.7859097513703475,-185.92730439047665,-193.69086808572064,7.7635636482201935,8.635396099998616
63,-186.04667569581127,-193.83715759863938,7.790481747717555,-186.0155719954752,-193.8132489290658,7.797676691289189,9.165019000007305
64,-186.0558431064232,-193.84641423538963,7.790571268281465,-185.94943224437606,-193.7351820244373,7.785749555470516,7.90032240000437
65,-186.07996235227205,-193.8748719450274,7.794909825761568,-186.06240608895519,-193.86816662707665,7.805759977856978,8.945038000005297
66,-186.08979850534652,-193.8899601636995,7.800161549606197,-186.13111165528287,-193.93805979669457,7.806947580257106,8.965567599996575
67,-186.10261844964575,-193.90396614233748,7.8013474083886685,-186.16641098233637,-193.94554975427997,7.779138771544556,8.34999400000379
68,-186.12517717995226,-193.91630119251616,7.791124187699256,-186.09195546916646,-193.89416212088662,7.80220674337357,7.985791899991455
69,-186.13170499953935,-193.9243809327737,7.792675919301861,-186.1565941777765,-193.95166377769547,7.795069544392842,8.071399399996153
70,-186.14748186939283,-193.937311849118,7.789830103123016,-186.16216314860313,-193.9353204889853,7.7731577181992595,7.695635199997923
71,-186.1705353076606,-193.95412442792593,7.783589368545842,-186.1754703714489,-193.9556641754553,7.780194124609165,7.567496200004825
72,-186.16683872760942,-193.95558875169624,7.788749895877643,-186.19078598489014,-193.95862884767038,7.767842886384216,8.026298099997803
73,-186.17977974682992,-193.9720499140994,7.792270323822127,-186.17703719911063,-193.96157342660914,7.784536276087716,7.833090200001607
74,-186.19052157552184,-193.98386387484518,7.7933423901698395,-186.20233365965305,-193.96601693331715,7.763683940407391,7.8780513999954564
75,-186.19030936650194,-193.98654155367277,7.79623242831655,-186.24262480402746,-194.04191096673873,7.799286160194341,7.6425135000026785
76,-186.19486499369333,-193.98455680893971,7.789691979958266,-186.18547298454723,-194.02302876286157,7.837555893571729,7.871104500009096
77,-186.21993987656884,-194.0056665367762,7.785726764762698,-186.1806600049488,-193.93950264362573,7.758842489778478,8.116396899989923
78,-186.2294415281014,-194.0131990171309,7.783757322071439,-186.28410827125964,-194.04998321778757,7.765874866661168,8.214725099998759
79,-186.23119030318372,-194.02271525087906,7.791524946672546,-186.2698656586155,-194.0637725918478,7.793906700108494,8.500646100001177
80,-186.24594889871486,-194.0299951649065,7.784046439322534,-186.18399603886354,-194.04723803934883,7.863242175965053,8.431806100008544
81,-186.24885984042572,-194.03309071714372,7.784230979931575,-186.24690849370498,-194.0455665816745,7.798658218819649,8.352527900002315
82,-186.26273255329673,-194.04375392997733,7.781021321455433,-186.28025828577293,-194.05766921668027,7.77741051773032,8.382801800005836
83,-186.26229964999013,-194.04597044495407,7.78367076948656,-186.28710950367082,-194.10969228262604,7.822582926011983,8.275895899991156
84,-186.2610497832232,-194.04760064114396,7.7865509490878795,-186.28933437066252,-194.07166741269558,7.782333338172404,8.264340900001116
85,-186.28378307132567,-194.06533004582417,7.781547033691443,-186.3081538263916,-194.09547315781086,7.78731920501984,8.336857299989788
86,-186.29136215248005,-194.06984909479567,7.778486958994174,-186.2534150299475,-194.0309842416931,7.77756929544916,8.161662300000899
87,-186.29485308950473,-194.07832835368455,7.7834752724590786,-186.31693076436682,-194.10500859560443,7.78807783476747,8.431263700011186
88,-186.2944361671286,-194.0753112939144,7.7808751956211575,-186.29428142821402,-194.10058598464656,7.806304543172581,8.275057699996978
89,-186.3059096464607,-194.08579172451698,7.779882167858625,-186.37940131839082,-194.17248759691762,7.793086339700709,8.230585299999802
90,-186.3195141952446,-194.09732429700057,7.777809908920945,-186.37290106148131,-194.1318638963948,7.758962023968016,8.375982600002317
91,-186.3288179459338,-194.1054823003595,7.7766645423490885,-186.2653297181217,-194.09024260305767,7.824913210910273,8.072225199997774
92,-186.33420050828283,-194.10955115198996,7.775350773920751,-186.23734382013052,-193.99760607426904,7.76026226699947,8.048302000010153
93,-186.34242798823328,-194.12178360636406,7.77935551134899,-186.34000805086518,-194.10138392158365,7.7613763858008165,7.524247300010757
94,-186.36325660426712,-194.13968253721313,7.7764257977401625,-186.38756537264015,-194.21212057525565,7.824555276619647,7.81628160001128
95,-186.37999551775815,-194.1521325623124,7.7721371621590984,-186.3366054705573,-194.09175263678947,7.75514702961151,7.578764799996861
96,-186.39193160069865,-194.15667531624396,7.764743854720605,-186.32650801035842,-194.11671344424354,7.790205562862891,7.709571999992477
97,-186.4031834773844,-194.1628186574626,7.759634986582144,-186.36462405585075,-194.1035607472086,7.738936918588324,7.845632000011392
98,-186.54154986825657,-194.16316223439196,7.621612246744821,-186.75707762748587,-194.19456961649885,7.437492016914154,8.243359999993118
99,-186.9845833594758,-194.21122018831667,7.226636579295885,-187.2044551185139,-194.14685367501968,6.942398818420911,8.358909199989284
100,-187.6353164432541,-194.2018522461282,6.566535907649753,-188.0133488827286,-194.39856249045283,6.385213822216553,7.977076699986355
