epoch,train_total,train_recon,train_kl,val_total,val_recon,val_kl,seconds
1,-126.15187784808279,-138.8758894102162,12.724011743550117,-161.36921279362093,-173.39129013685232,12.022077148076534,5.862546100001055
2,-165.64602479913415,-177.07996817349795,11.43394311253229,-168.7271042405427,-179.55503055706336,10.827926207555619,5.761497999999847
3,-171.08731708123352,-181.63565696571055,10.548339664539986,-172.04375690500723,-182.48113286632565,10.437376453472098,5.715077100001508
4,-174.00111193744186,-184.19437929581952,10.193267496248955,-174.6696889513284,-184.65357491475115,9.98388584371468,5.730303000000276
5,-175.62843400561434,-185.46149716001378,9.833062892327868,-175.83162408932483,-185.52007275284546,9.688448507961523,5.749158300001
6,-176.861889857145,-186.42571236558126,9.563822417671995,-176.74598920151163,-186.157992674524,9.412003608927069,5.877066400000331
7,-177.88795781058687,-187.2144185122634,9.326460714104444,-177.92192040803465,-187.07727386111188,9.155353600041906,5.66165760000149
8,-178.74613655313777,-187.83491728104195,9.088780467555862,-178.1616899886314,-187.02642138640445,8.864731025818578,5.711320099999284
9,-179.6120828966886,-188.43602343439633,8.823940461295262,-179.69178895535944,-188.31181851507654,8.620029165232953,5.851643599999079
10,-180.69204091605957,-189.2437344819683,8.551693569075704,-180.7891797053764,-189.1320496342134,8.342870530753723,5.823875599999155
11,-181.55437998225796,-189.84292489608438,8.288545095075413,-181.51461228394302,-189.61436954691052,8.099757360821181,5.631604499998502
12,-182.31060137231393,-190.351604948013,8.041003449653862,-181.04574876680303,-189.16917078799668,8.123422233353176,5.674898799999937
13,-182.89782922098965,-190.71733407380603,7.819504933619231,-182.63656505514734,-190.31749481210994,7.680929297836102,5.789057800000592
14,-183.4099137462955,-190.99338208316917,7.5834682208309525,-182.89608078960595,-190.29687453933877,7.40079359810261,5.768724100002146
15,-183.81995397746908,-191.2180121728513,7.3980581834755315,-183.39601525981058,-190.67316383187472,7.277148598921732,5.832167699998536
16,-184.1991545215622,-191.4245579221404,7.225403515137678,-183.83327351383815,-190.9776457149038,7.144372588060353,5.873606699999073
17,-184.5468251206762,-191.61170504461478,7.0648798173376655,-184.10928387354915,-191.00949807021254,6.900214314775372,5.711990499999956
18,-184.85268614903487,-191.77465771413782,6.9219716560892115,-184.46477697474955,-191.32573581249875,6.8609588296458695,6.218016599999828
19,-185.0910197484464,-191.87616142286078,6.785142031561692,-184.73209674247101,-191.50400246926202,6.771905880569836,5.691569400001754
20,-185.38138320119307,-192.03209025883504,6.650706897680569,-184.83989758351856,-191.32076558732203,6.480867797138226,5.739481700002216
21,-185.56390470721885,-192.0778605803245,6.51395579336505,-185.1121479487473,-191.52322746598531,6.4110796979972315,5.783704699999362
22,-185.79287172143,-192.18777339192994,6.394901793917508,-185.2411918971636,-191.73339242041973,6.492200452935323,5.68305490000057
23,-185.9502850600387,-192.24912854653982,6.298843631448009,-185.52667633734373,-191.74190935786223,6.215233377402029,5.621097900002496
24,-186.1145415530889,-192.30289415894242,6.1883524685824005,-185.58987713467857,-191.60780586412108,6.017928840648257,5.803274899997632
25,-186.24689566814598,-192.34845570926606,6.101559980682366,-185.81520788550645,-192.0027559779486,6.18754820361719,5.725157800003217
26,-186.36594973567907,-192.4004416031637,6.034491867565217,-185.793691764171,-191.81146602378922,6.017774126680863,5.668203400000493
27,-186.49207962278652,-192.46133279086277,5.969253192570336,-185.98416242105307,-191.91019981538977,5.926037151666941,5.493900600002235
28,-186.5962481219756,-192.51290348681,5.916655054072248,-186.04333077864436,-191.97193073902554,5.928599913480161,5.677130300002318
29,-186.6692003910101,-192.536373881814,5.867173581971058,-186.15857953727533,-191.98832010368,5.829741006040251,5.629606400001649
30,-186.74485409997652,-192.5825081885679,5.837654066821987,-186.26558258282552,-192.05282089483865,5.787238478069717,6.11718899999687
