epoch,train_total,train_recon,train_kl,val_total,val_recon,val_kl,seconds
1,-127.38746921667553,-138.78604288500475,11.39857374637946,-162.6388780518364,-173.9802989762045,11.34142098851936,5.93312639999931
2,-168.36118171935337,-178.9444395803149,10.583257950804997,-171.3681814310978,-181.31214166450317,9.943960339730676,5.897457799997937
3,-173.05502833164493,-182.84618168501848,9.791153342629453,-174.33267373685712,-183.91798231544163,9.585308663423781,6.718237600001885
4,-176.14217940912218,-185.64001582562693,9.497836293225312,-177.6210395383267,-186.91502541160523,9.293985841601923,5.79541590000008
5,-178.7073932230661,-187.8386600076867,9.131266544237869,-179.73967977424968,-188.6264435089475,8.886763760603852,5.800675300000876
6,-180.6978713823561,-189.30287000651148,8.604998524850423,-181.3742685947228,-189.6183426330586,8.244073623040883,5.895041299998411
7,-182.0477834642072,-190.11455311198193,8.066769555145756,-182.6290203692409,-190.54259420394283,7.913573570576825,5.8539344999990135
8,-183.05487367483283,-190.7605685602688,7.705694931278516,-183.09258501036282,-190.66750030468467,7.574914744646939,5.66940600000089
9,-183.75641606320508,-191.1320815831826,7.3756655423076625,-183.52252278102338,-190.73899033236128,7.216466983983016,5.697147300001234
10,-184.4200816491027,-191.51089770000019,7.090816155714288,-184.63479105860696,-191.6126113817935,6.977820474202893,5.79986160000044
11,-184.91524698471295,-191.77406329909545,6.858816556669388,-185.00450951779123,-191.72901360469115,6.724504026370606,5.792799199996807
12,-185.3065990837154,-191.960178576314,6.653579675953996,-185.46951543036326,-192.00244141803665,6.532926372672954,5.841225900003337
13,-185.65968189617635,-192.15534978901036,6.495667913962138,-185.66934520572875,-192.11934725463985,6.450002003360646,5.776875600000494
14,-185.92354003346173,-192.2877389096145,6.3641989762995985,-185.96463001498003,-192.28654167241592,6.321911456510496,5.741965000001073
15,-186.1320882759875,-192.39037097081547,6.258282747165643,-186.20294125412374,-192.38052660079873,6.177586038311387,5.715205900000001
16,-186.34105655682123,-192.49670245443392,6.1556458464375465,-186.3805943268382,-192.45544698105618,6.074852254393019,5.7864979000005405
17,-186.43207816834405,-192.53129287701466,6.099214861074606,-186.46979532871055,-192.45479908805973,5.985003875803633,5.908985099998972
18,-186.66285821601545,-192.65875813534709,5.99589985418455,-186.55073241107058,-192.59575205331146,6.045019485484683,5.483086600001116
19,-186.79489876079205,-192.72562432949243,5.930725473203722,-186.74497647072135,-192.6115292208119,5.866552490753724,5.675124199999118
20,-186.91514814394898,-192.80050948288823,5.885361228870415,-186.9163162314934,-192.80915097229573,5.892834946669526,5.754600700001902
21,-187.04491556741786,-192.8788579052004,5.833942564513966,-186.98027207417852,-192.89976383696654,5.919491362287793,5.603408599999966
22,-187.1848334391719,-192.96965089066762,5.784817665299339,-186.79564512981491,-192.5808070953536,5.785162060906122,5.87231729999985
23,-187.31450267382465,-193.06065884538296,5.746156214975458,-187.15565934980802,-192.9210560798952,5.765397208121416,5.676893600000767
24,-187.4570456671502,-193.17530932716826,5.718263723280758,-187.39791275284702,-193.09023986266362,5.692327682358834,5.745016199998645
25,-187.5633922695389,-193.26877744413082,5.705385217568393,-187.46190948928327,-193.11217375068676,5.650264523564177,5.720441399997071
26,-187.72796586854213,-193.3956382414783,5.667672226545545,-187.63645078955565,-193.32272667125142,5.686275766714616,5.631645900000876
27,-187.82195659646487,-193.47817154177184,5.656215034910313,-187.69622060568878,-193.4548313294341,5.758610412688512,5.663160600000992
28,-187.93716333261267,-193.55955684901426,5.62239350549797,-187.85785429542918,-193.4602484058175,5.602394075672995,5.655895699997927
29,-188.01396519327614,-193.60442550965368,5.590460301603172,-187.95413950860865,-193.59155836937165,5.6374188999290205,5.741884200000641
30,-188.09234866607184,-193.6567711052712,5.564422488491712,-187.90196268691255,-193.53519591892268,5.633233128017577,5.531562100000883
31,-188.14500306575232,-193.68235126034642,5.537348245228263,-187.96353125055003,-193.50731234862025,5.543780867862364,5.47328330000164
32,-188.2071550455801,-193.74652339077866,5.5393685263077765,-188.16570956129178,-193.90767778655052,5.74196890747198,5.728389899999456
33,-188.28242676415624,-193.80774167659683,5.5253149447140695,-188.2167673121398,-193.7107506945082,5.493983332060294,5.67543139999907
34,-188.33644076431617,-193.85309377639237,5.516652873422176,-188.18270968611233,-193.6460957792667,5.46338662496517,5.525158000000374
35,-188.3872970506178,-193.89681619587344,5.509519104382275,-188.25682528826982,-193.78560006418218,5.528774215924153,5.489559399997233
36,-188.44237438427206,-193.9523890514503,5.51001452190904,-188.36574044720246,-193.84870794546117,5.4829681224288915,5.558641499999794
37,-188.50166856987096,-194.02012018752293,5.518451614705331,-188.41965502937546,-194.0738101258169,5.654154723750306,5.681190699997387
38,-188.53911429901814,-194.0596159126992,5.520501610935026,-188.48161603708454,-194.02281921013474,5.541203018626792,5.494802200002596
39,-188.56161972956363,-194.1133632560923,5.5517434249183255,-188.60165115616735,-194.10846986749144,5.506818434092482,5.637077899998985
40,-188.63554889822723,-194.16019853615737,5.524649510643428,-188.55497331229444,-194.01993180524508,5.46495846781195,5.827869900000223
41,-188.69370387838987,-194.2220396172174,5.52833561240249,-188.66132683043392,-194.19469260715158,5.533365725519421,5.523883099998784
42,-188.71604063324534,-194.26253163244576,5.546491134907781,-188.62608021520364,-194.15933905762034,5.533258416286649,5.770947400000296
43,-188.7231576745499,-194.30623763978468,5.583079761154133,-188.7313487563365,-194.26623845636018,5.534889553734295,5.837235200000578
