criterion,variant,dataset,column,threshold,n_edges,n_groups,n_dropped,final_size,edges_shared_with_P,n_ambiguous,anadidas_vs_51,quitadas_vs_51
A_1.5,B50,EDA,nmi_sqrt_B50,0.44474007833134,203,17,48,26,38.0,0,Bwd IAT Total,Active Max; Active Mean; Active Min; Active Std; Bwd Bulk Rate Avg; Bwd IAT Mean; Bwd IAT Std; Bwd Packets/s; ECE Flag Count; FIN Flag Count; FWD Init Win Bytes; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg; Fwd PSH Flags; Fwd Packet Length Mean; Fwd Packet Length Min; PSH Flag Count; Packet Length Mean; Packet Length Min; Protocol; SYN Flag Count; Total Length of Fwd Packet
A_2,B50,EDA,nmi_sqrt_B50,0.5269529571692713,113,16,37,37,29.0,2,Bwd IAT Min; Bwd IAT Total; Bwd Packet Length Std; Fwd IAT Min; Fwd IAT Total,Active Max; Active Min; Active Std; Bwd Bulk Rate Avg; Bwd IAT Mean; Bwd Packets/s; ECE Flag Count; FWD Init Win Bytes; Flow IAT Max; Flow IAT Mean; Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg; Fwd PSH Flags; Fwd Packet Length Mean; Fwd Packet Length Min; Packet Length Min; Protocol; SYN Flag Count; Total Length of Fwd Packet
L,qcut20,EDA,r_info_qcut20,0.95,90,7,24,50,21.0,0,ACK Flag Count; Bwd IAT Min; Bwd PSH Flags; Bwd Packet Length Std; Bwd Packet/Bulk Avg; Fwd IAT Min; Fwd URG Flags; Idle Max; Idle Mean,Bwd IAT Mean; Bwd Packets/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Fwd Packet Length Mean; Packet Length Mean; Packet Length Min; Total Length of Fwd Packet
L_cal,qcut20,EDA,r_info_qcut20,0.9413966274520271,102,6,21,53,22.0,1,ACK Flag Count; Bwd IAT Min; Bwd IAT Total; Bwd PSH Flags; Bwd Packet Length Std; Bwd Packet/Bulk Avg; Fwd IAT Max; Fwd IAT Min; Fwd URG Flags; Idle Max; Idle Mean,Bwd IAT Max; Bwd Packets/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Fwd Packet Length Mean; Packet Length Mean; Packet Length Min; Total Length of Fwd Packet
S,qcut20,EDA,nmi_max_qcut20,0.36277530974817007,190,11,40,34,36.0,2,ACK Flag Count; Bwd Header Length; Bwd IAT Min; Bwd Packet Length Std; Bwd Packet/Bulk Avg; Fwd IAT Min; Subflow Fwd Bytes; Total Bwd packets,Active Max; Active Mean; Active Min; Active Std; Bwd IAT Mean; Bwd IAT Std; Bwd Packets/s; ECE Flag Count; FWD Init Win Bytes; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Fwd Act Data Pkts; Fwd IAT Mean; Fwd PSH Flags; Fwd Packet Length Mean; Fwd Packet Length Min; Packet Length Mean; Packet Length Min; Protocol; SYN Flag Count; Total Fwd Packet; Total Length of Fwd Packet
G,qcut20,EDA,gauss_ratio_qcut20,1.0,321,14,40,34,44.0,1,Bwd IAT Min; Bwd PSH Flags; Bwd Packet/Bulk Avg; Fwd IAT Min,Active Max; Active Min; Active Std; Bwd Bytes/Bulk Avg; Bwd IAT Max; Bwd Packets/s; ECE Flag Count; FWD Init Win Bytes; Flow Duration; Flow IAT Mean; Flow IAT Std; Fwd IAT Mean; Fwd IAT Std; Fwd PSH Flags; Fwd Packet Length Mean; Fwd Packet Length Min; Packet Length Mean; Packet Length Min; Protocol; SYN Flag Count; Total Length of Fwd Packet
A_0.5,qcut20,EDA,nmi_sqrt_qcut20,0.265829298569749,640,10,45,29,50.0,2,Bwd IAT Min; Bwd Packet/Bulk Avg; Fwd Header Length; Fwd IAT Min,Active Max; Active Min; Bwd IAT Max; Bwd IAT Mean; Bwd IAT Std; Bwd Init Win Bytes; Bwd Packet Length Min; Bwd Packets/s; ECE Flag Count; FWD Init Win Bytes; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Fwd IAT Mean; Fwd IAT Std; Fwd PSH Flags; Fwd Packet Length Max; Fwd Packet Length Min; Fwd Seg Size Min; Idle Std; Packet Length Min; Protocol; SYN Flag Count; Total Fwd Packet; Total Length of Fwd Packet
A_1,qcut20,EDA,nmi_sqrt_qcut20,0.3445441229722801,341,15,41,33,48.0,1,ACK Flag Count; Bwd IAT Min; Bwd Packet/Bulk Avg,Active Max; Active Mean; Active Min; Active Std; Bwd IAT Mean; Bwd IAT Std; Bwd Packets/s; ECE Flag Count; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Fwd IAT Mean; Fwd PSH Flags; Fwd Seg Size Min; Packet Length Mean; Packet Length Min; Protocol; SYN Flag Count; Total Fwd Packet; Total Length of Fwd Packet
A_1.5,qcut20,EDA,nmi_sqrt_qcut20,0.4232589473748112,195,11,36,38,39.0,2,Bwd IAT Min; Bwd PSH Flags; Bwd Packet Length Std; Bwd Packet/Bulk Avg; Fwd IAT Min; Total Bwd packets,Active Max; Active Mean; Active Min; Active Std; Bwd IAT Mean; Bwd Packets/s; ECE Flag Count; FWD Init Win Bytes; Flow Duration; Flow IAT Max; Flow IAT Mean; Fwd IAT Mean; Fwd PSH Flags; Fwd Packet Length Mean; Fwd Packet Length Min; Packet Length Min; Protocol; SYN Flag Count; Total Length of Fwd Packet
A_2,qcut20,EDA,nmi_sqrt_qcut20,0.5019737717773423,124,14,30,44,34.0,1,Bwd IAT Min; Bwd IAT Total; Bwd PSH Flags; Bwd Packet Length Std; Bwd Packet/Bulk Avg; Fwd IAT Min; Fwd IAT Total; Subflow Fwd Bytes; Total Length of Bwd Packet,Active Max; Active Min; Active Std; Bwd Bytes/Bulk Avg; Bwd Packets/s; ECE Flag Count; FWD Init Win Bytes; Flow IAT Max; Flow IAT Mean; Fwd IAT Std; Fwd PSH Flags; Fwd Packet Length Max; Packet Length Mean; Packet Length Min; Protocol; SYN Flag Count
