feature,accion,con,pearson,r_info_B20,ksg_r_info,gauss_ratio_min_B,robusto_max,u_f_dado_con,benign_r_info,benign_gauss_ratio
Total Length of Bwd Packet,restaurar (vuelve a la entrada),Total Fwd Packet,0.9969863460947592,0.8867065301530652,0.945756707623916,0.7658638332150295,,0.2869822896315816,0.8572922666414974,0.7533122937441303
Bwd Packets/s,descartar (nueva fusión),Flow Packets/s,0.4815020254356825,0.9939310012680448,0.999997442033671,1.741643750934724,,0.736798705109951,0.9940852556080734,2.058707657660389
Flow Duration,descartar (nueva fusión),Flow Packets/s,0.072036749603531,0.9850246753127254,0.9998961191939856,1.4355159056303988,,0.586802535567176,0.9849469161342712,1.6276651292225677
Flow IAT Max,descartar (nueva fusión),Flow Packets/s,0.0612394620693543,0.984409220476762,0.9994878428545124,1.4236062136779006,,0.5801569765084374,0.982851965388483,1.5680061858735606
Flow IAT Mean,descartar (nueva fusión),Flow Packets/s,0.0404379368829646,0.9947138280918608,0.9999269721494536,1.8505980290947013,,0.7597805573221612,0.9949825896302328,2.135009475579328
Flow IAT Std,descartar (nueva fusión),Flow Packets/s,0.0506871186593614,0.9791807900639896,0.99672656230418,1.4088524533792788,,0.6092421930589432,0.9808539564295728,1.612007571130733
Packet Length Min,descartar (nueva fusión),Fwd Packet Length Min,0.839400903528461,0.9854886827352408,0.9961716616314245,2.1826993288640524,,0.99394933147195,0.993241241891714,2.596264744590905
