cuadrante,feature_a,feature_b,mismo_cluster_eda,fusionado_en_P,ambas_en_51,pearson_abs,spearman_abs,r_info,r_info_B10,r_info_B50,ksg_r_info,gauss_ratio,gauss_ratio_B10,gauss_ratio_B50,nmi_sqrt,nmi_max,u_x_given_y,u_y_given_x,H_x,H_y,mi_corr_bits,mi_ref_gauss_bits,g_stat,g_dof,g_pvalue
pearson_sobreestimo,Fwd IAT Mean,Fwd IAT Min,True,True,False,0.9669432099120604,0.7220436268419055,0.9461784121698544,0.928627449860974,0.9595959134077016,0.9693839906477596,1.2038272497747626,1.1104933858306305,1.3186531258833951,0.488019026147109,0.4422743734580027,0.4422743734580027,0.5384950704230392,3.6798732404885786,3.022337104336701,1.627513631841956,1.3519494862294117,4738094.61845572,126,0.0
pearson_sobreestimo,Flow IAT Max,Bwd IAT Max,True,False,True,0.9596340877080266,0.7431300036942293,0.945900148136114,0.8935423301746083,0.971858551500907,0.9966902679100644,1.1471276667699006,0.8708930076736777,1.4308610164586475,0.4151848703014815,0.375759840206023,0.375759840206023,0.458746406834604,4.321635146952657,3.539857551043754,1.6238969322476633,1.41562005632752,4727565.511633496,247,0.0
pearson_sobreestimo,Total Bwd packets,ACK Flag Count,True,True,False,0.999824854103762,0.7872388371880846,0.9445059004438804,0.9151610290330116,0.9604066372988734,0.9694134174723404,1.5322367752717634,1.333893371200511,1.7180092974599337,0.5990070737338193,0.5767645526295674,0.5767645526295674,0.6221073620895737,2.784600907269565,2.5816429677647355,1.606059096533218,1.0481794474932644,4675635.161097595,81,0.0
pearson_sobreestimo,Total Fwd Packet,ACK Flag Count,True,True,False,0.9996853949435004,0.7840547854238514,0.9437072179493036,0.9235711807927272,0.959529895686387,0.9685228767294004,1.5047266226707987,1.3933841873810926,1.666875093903102,0.590368645677518,0.5637634202959079,0.5637634202959079,0.6182294296713468,2.831059274364596,2.5816429677647355,1.5960476595762354,1.0606894538380316,4646489.392582462,81,0.0
pearson_sobreestimo,Bwd Packet Length Std,Packet Length Std,True,True,False,0.982028325520952,0.8315914680644935,0.9353265870093286,0.9036090136901797,0.9557491740092706,0.9869785831170792,1.5640905134808665,1.3758559146094664,1.7785454951714812,0.5091889360889355,0.3700662211481529,0.700613451914013,0.3700662211481529,2.139629486196049,4.050770144570117,1.4990532001408203,0.9584184465160482,4364114.537294252,136,0.0
pearson_sobreestimo,Bwd Packet Length Std,Packet Length Variance,True,False,False,0.96395787604381,0.8315884005584507,0.93526422501601,0.9036086250901438,0.9555566049339228,0.9869609915431278,1.5635161658523813,1.3758496987633375,1.775550017754686,0.5089340641552001,0.3698616438400807,0.7002993848411077,0.3698616438400807,2.139629486196049,4.051193839442439,1.4983812129709886,0.958340723106062,4362158.216480246,136,0.0
pearson_sobreestimo,Total Length of Bwd Packet,Bwd Header Length,True,True,False,0.9938529061687272,0.6215261854421201,0.9349816864162492,0.9157580012395844,0.9512440125205764,0.9773808782703884,1.1135364536548435,1.0188751108584808,1.2323806719067325,0.4263509118949524,0.3855694822063966,0.3855694822063966,0.4714457664892489,3.87827652236386,3.171828398665149,1.4953450705810585,1.3428793154216412,4353319.255234611,165,0.0
pearson_sobreestimo,Bwd Packet Length Max,Bwd Packet Length Std,True,True,False,0.9835152845007902,0.8253432591774522,0.9335929577508728,0.9008676008691612,0.9499965800713076,0.98122574279434,1.5437635611725846,1.3561191344537964,1.691461471031415,0.5017665722611154,0.3638304350794489,0.3638304350794489,0.6919973393201443,4.069527364458319,2.139629486196049,1.4806179115785936,0.9590962948069404,4310444.853785975,136,0.0
pearson_sobreestimo,Bwd Packet Length Std,Packet Length Max,True,True,False,0.9728221277273084,0.827575637470106,0.9296275566784188,0.8972874863807521,0.944063964734132,0.9776719950731524,1.5042710319132324,1.3168574216474556,1.6146191455933918,0.4881235550626605,0.3539620716398732,0.6731359772620623,0.3539620716398732,2.139629486196049,4.06897151013018,1.440261585169302,0.957448195580474,4192957.6086781714,136,0.0
pearson_sobreestimo,Bwd PSH Flags,PSH Flag Count,True,True,False,0.955595534942235,0.9862652058258002,0.9294667787558482,0.9125325030502052,0.9390383923096036,0.9469978924977572,1.756317523152939,1.698721828136634,1.8277122593472064,0.8116655775428309,0.7811150560787643,0.8434109733784296,0.7811150560787643,1.7057823218196313,1.8418228111487625,1.438675528417613,0.819143184220416,4188340.2052889057,30,0.0
pearson_sobreestimo,Total Length of Bwd Packet,Fwd Header Length,True,True,False,0.99583426550203,0.5685956962625829,0.9225596815075804,0.904342952630658,0.941838672285573,0.9739840849145736,1.0100139873848768,0.9447425397129284,1.130248654385262,0.3841892237712961,0.3542479376839447,0.3542479376839447,0.4166611685222539,3.87827652236386,3.297335013694899,1.3738714598154589,1.3602499341347538,3999679.537451428,180,0.0
pearson_sobreestimo,Total Length of Bwd Packet,ACK Flag Count,True,True,False,0.9957486596407396,0.5600712256657281,0.9212347791478976,0.9016567471960424,0.9354593990064488,0.9570115128757288,1.2287306517766776,1.1504832193594392,1.3192927938148038,0.4304786914645113,0.3512209098745125,0.3512209098745125,0.5276220708818502,3.87827652236386,2.5816429677647355,1.3621318089295953,1.1085682667393597,3965502.510852944,135,0.0
pearson_sobreestimo,Total Bwd packets,Total Length of Bwd Packet,True,True,False,0.9944234093893276,0.8053741727116684,0.8995088538623063,0.8739033588363929,0.9200368032121492,0.9548949101735364,0.9300901376892876,0.8507242157133396,1.0285989013153007,0.3635194818373437,0.3080277086267801,0.4290082027503741,0.3080277086267801,2.784600907269565,3.87827652236386,1.1946166306047774,1.2844095235464794,3477824.40518191,135,0.0
